name	grid	source_photo	confidence
Girard St.	F 14	2026-09-18 11.30.36.jpg	certain
Gladstone St.	H 8	2026-09-18 11.30.36.jpg	certain
Gladys Ave.	K 15	2026-09-18 11.30.36.jpg	certain
Glassell St.	F 9	2026-09-18 11.30.36.jpg	certain
Gleason Ave.	P 14	2026-09-18 11.30.36.jpg	certain
Glen Terrace St.	Q 9	2026-09-18 11.30.36.jpg	certain
Glen Albyn Drive	O 5	2026-09-18 11.30.36.jpg	certain
Glenn Ave.	O 17	2026-09-18 11.30.36.jpg	certain
Gless St.	N 13	2026-09-18 11.30.36.jpg	certain
Golden Ave.	N 13	2026-09-18 11.30.36.jpg	certain
Golden Gate Ave.	F 6	2026-09-18 11.30.36.jpg	certain
Goss St.	K 9	2026-09-18 11.30.36.jpg	certain
Grafton St.	I 8	2026-09-18 11.30.36.jpg	certain
Grahm St.	F 7	2026-09-18 11.30.36.jpg	certain
Gramercy Pl.	A 14	2026-09-18 11.30.36.jpg	certain
Granada St.	P 3	2026-09-18 11.30.36.jpg	certain
Grand Ave.	H 14	2026-09-18 11.30.36.jpg	certain
Grand View St.	P 12	2026-09-18 11.30.36.jpg	certain
Grant St.	O 6	2026-09-18 11.30.36.jpg	certain
Grattan St.	G 13	2026-09-18 11.30.36.jpg	certain
Gravilla St.	N 11	2026-09-18 11.30.36.jpg	certain
Griffin Ave.	O 10	2026-09-18 11.30.36.jpg	certain
Griffith Ave.	H 19	2026-09-18 11.30.36.jpg	certain
Grotto Ave.	P 7	2026-09-18 11.30.36.jpg	certain
Grove Ave.	P 15	2026-09-18 11.26.23.jpg	certain
Grover St.	D 14	2026-09-18 11.26.23.jpg	certain
Guava St.	P 3	2026-09-18 11.26.23.jpg	certain
Guirado St.	P 16	2026-09-18 11.26.23.jpg	certain
Hamlet St.	M 3	2026-09-18 11.26.23.jpg	certain
Halladie Ave.	C 13	2026-09-18 11.26.23.jpg	certain
Hancock St.	P 16	2026-09-18 11.26.23.jpg	certain
Hannon St.	K 20	2026-09-18 11.30.09.jpg	certain
Harriet St.	M 18	2026-09-18 11.30.09.jpg	certain
Harrison Ave.	Q 12	2026-09-18 11.30.09.jpg	certain
Hartford Ave.	L 4	2026-09-18 11.30.09.jpg	certain
Harvard Boulevard	B 14	2026-09-18 11.30.09.jpg	certain
Hawley St.	L 10	2026-09-18 11.30.09.jpg	certain
Hawthorne St.	K 16	2026-09-18 11.30.09.jpg	certain
Hayden St.	N 8	2026-09-18 11.30.09.jpg	certain
Hays Ave.	L 4	2026-09-18 11.30.09.jpg	certain
Hazlip	N 9	2026-09-18 11.39.47.jpg	certain
Helen St.	I 9	2026-09-18 11.30.09.jpg	certain
Hemlock St.	K 15	2026-09-18 11.30.09.jpg	certain
Henderson	G 9	2026-09-18 11.30.09.jpg	certain
Henry St.	N 15	2026-09-18 11.30.09.jpg	certain
Hermosa St.	A 15	2026-09-18 11.30.09.jpg	certain
Hewitt St.	L 13	2026-09-18 11.30.09.jpg	certain
Hidalgo St.	C 13	2026-09-18 11.30.09.jpg	certain
Hill St.	A 15	2026-09-18 11.30.09.jpg	certain
Hinton Ave.	J 10	2026-09-18 11.30.09.jpg	certain
Hobart Bld.	B 14	2026-09-18 11.30.09.jpg	certain
Hobson St.	C 13	2026-09-18 11.30.09.jpg	certain
Hollenbeck Ave.	N 16	2026-09-18 11.30.09.jpg	certain
Holliday St.	J 10	2026-09-18 11.30.09.jpg	certain
Hollister Ave.	C 18	2026-09-18 11.30.09.jpg	certain
Holly	M 10	2026-09-18 11.30.09.jpg	certain
Honduras St.	K 21	2026-09-18 11.30.09.jpg	certain
Hooper Ave.	J 18	2026-09-18 11.30.09.jpg	certain
Hoover St.	E 14	2026-09-18 11.30.09.jpg	certain
Hope St.	H 14	2026-09-18 11.30.09.jpg	certain
Horticultural Ave.	D 18	2026-09-18 11.30.09.jpg	certain
Hostetter St.	N 17	2026-09-18 11.30.09.jpg	certain
Hough Ave.	E 17	2026-09-18 11.30.09.jpg	certain
Houston St.	P 13	2026-09-18 11.30.09.jpg	certain
Howard St.	M 12	2026-09-18 11.30.09.jpg	certain
Hub	L 3	2026-09-18 11.30.09.jpg	certain
Hubbard St.	G 8	2026-09-18 11.39.47.jpg	certain
Hudson Ave.	E 7	2026-09-18 11.39.47.jpg	certain
Humboldt St.	N 8	2026-09-18 11.39.47.jpg	certain
Hunter St.	M 17	2026-09-18 11.30.09.jpg	certain
Huron St.	O 7	2026-09-18 11.30.09.jpg	certain
Husted St.	J 6	2026-09-18 11.39.47.jpg	probable
Hyans St.	F 9	2026-09-18 11.39.47.jpg	probable
Hyperian Ave.	F 6	2026-09-18 11.39.47.jpg	certain
Ida St.	G 8	2026-09-18 11.26.23.jpg	certain
Idell St.	N 6	2026-09-18 11.26.23.jpg	certain
Idlewild Ave.	O 7	2026-09-18 11.26.23.jpg	certain
Illinois St.	I 10	2026-09-18 11.26.23.jpg	certain
Imogene Ave.	F 6	2026-09-18 11.26.23.jpg	certain
Inez St.	Q 16	2026-09-18 11.26.23.jpg	certain
Ingraham	G 12	2026-09-18 11.26.23.jpg	certain
Inlet St.	N 17	2026-09-18 11.26.23.jpg	certain
Innes Ave.	J 9	2026-09-18 11.26.23.jpg	certain
Inyo St.	Q 8	2026-09-18 11.26.23.jpg	certain
Ionia	J 10	2026-09-18 11.26.23.jpg	certain
Iowa St.	E 14	2026-09-18 11.26.23.jpg	certain
Irolo St.	C 13	2026-09-18 11.26.23.jpg	certain
Irving St.	Q 12	2026-09-18 11.26.23.jpg	certain
Isabel St.	N 6	2026-09-18 11.26.23.jpg	certain
Ivers Ave.	H 8	2026-09-18 11.26.23.jpg	certain
Ivy St.	K 17	2026-09-18 11.26.23.jpg	certain
Ivanhoe	I 6	2026-09-18 11.26.23.jpg	certain
Jackson St.	L 13	2026-09-18 11.30.09.jpg	certain
James St.	O 6	2026-09-18 11.30.09.jpg	certain
Jarvis St.	L 8	2026-09-18 11.30.09.jpg	certain
Jasmine St.	C 13	2026-09-18 11.30.09.jpg	certain
Jeanette St.	L 12	2026-09-18 11.30.09.jpg	certain
Jefferson St.	G 18	2026-09-18 11.30.09.jpg	certain
Jesse St.	L 15	2026-09-18 11.30.09.jpg	certain
John St.	E 8	2026-09-18 11.30.09.jpg	certain
Johnston St.	Q 20	2026-09-18 11.30.09.jpg	probable
Jonlin St.	A 9	2026-09-18 11.30.21.jpg	certain
Juan St.	L 12	2026-09-18 11.30.09.jpg	certain
Juanita Ave.	E 10	2026-09-18 11.30.09.jpg	certain
Judson St.	P 12	2026-09-18 11.30.09.jpg	certain
Julian St.	P 15	2026-09-18 11.30.09.jpg	certain
Juliet St.	D 16	2026-09-18 11.30.09.jpg	certain
Juniper St.	R 6	2026-09-18 11.30.09.jpg	certain
Kane St.	H 9	2026-09-18 11.30.21.jpg	certain
Kansas Ave.	D 13	2026-09-18 11.30.21.jpg	certain
Kearney St.	M 13	2026-09-18 11.30.21.jpg	certain
Keith St.	Q 9	2026-09-18 11.30.21.jpg	certain
Kellam Ave.	I 9	2026-09-18 11.30.21.jpg	certain
Keller St.	M 12	2026-09-18 11.30.21.jpg	certain
Kensington Rd.	J 9	2026-09-18 11.30.21.jpg	certain
Kent St.	G 8	2026-09-18 11.30.21.jpg	certain
Kercheval	L 17	2026-09-18 11.30.21.jpg	certain
Kern	I 11	2026-09-18 11.30.21.jpg	certain
Kenwood St.	G 16	2026-09-18 11.30.21.jpg	certain
Keys	G 9	2026-09-18 11.30.21.jpg	certain
Keywest St.	E 17	2026-09-18 11.30.21.jpg	certain
King	C 18	2026-09-18 11.30.21.jpg	certain
Kingsley St.	E 17	2026-09-18 11.30.21.jpg	certain
Kingston St.	P 12	2026-09-18 11.30.21.jpg	certain
Kip St.	H 13	2026-09-18 11.26.23.jpg	certain
Kirby St.	M 3	2026-09-18 11.26.23.jpg	certain
Kohler St.	K 15	2026-09-18 11.30.36.jpg	certain
La Bondad St.	L 17	2026-09-18 11.30.21.jpg	certain
Labory Lane	L 12	2026-09-18 11.30.21.jpg	certain
Lacy Ave.	N 7	2026-09-18 11.30.21.jpg	certain
Lafayette St.	L 13	2026-09-18 11.30.21.jpg	certain
Laguna Ave.	I 9	2026-09-18 11.30.21.jpg	certain
Lake St.	F 12	2026-09-18 11.30.21.jpg	certain
Lake Shore Ave.	H 8	2026-09-18 11.30.21.jpg	certain
Lamar St.	N 10	2026-09-18 11.30.21.jpg	certain
Lambie St.	Q 11	2026-09-18 11.30.21.jpg	certain
Lancaster Ave.	O 11	2026-09-18 11.30.21.jpg	certain
Landa St.	H 5	2026-09-18 11.30.21.jpg	certain
Lanfranco St.	P 15	2026-09-18 11.30.21.jpg	certain
Lara St.	Q 12	2026-09-18 11.30.21.jpg	certain
La Salle Ave.	B 15	2026-09-18 11.30.21.jpg	certain
Latham St.	J 22	2026-09-18 11.30.21.jpg	certain
Lathrop Ave.	M 3	2026-09-18 11.30.21.jpg	certain
Lauder St.	H 19	2026-09-18 11.30.21.jpg	certain
La Veta Place	I 9	2026-09-18 11.30.21.jpg	certain
Lawrence St.	L 16	2026-09-18 11.30.21.jpg	certain
Laurel St.	E 14	2026-09-18 11.30.21.jpg	certain
Lebanon St.	J 13	2026-09-18 11.30.21.jpg	certain
Legrand St.	M 16	2026-09-18 11.30.21.jpg	certain
Lee Ave.	E 11	2026-09-18 11.30.21.jpg	certain
Lemon St.	L 17	2026-09-18 11.30.21.jpg	certain
Lemoyne St.	I 8	2026-09-18 11.30.21.jpg	certain
Leonard St.	M 17	2026-09-18 11.30.21.jpg	certain
Leon St.	O 7	2026-09-18 11.30.21.jpg	certain
Leonis St.	M 13	2026-09-18 11.30.21.jpg	certain
Leoti Ave.	C 15	2026-09-18 11.30.21.jpg	certain
Lerdo St.	B 13	2026-09-18 11.30.21.jpg	certain
Leroy St.	M 10	2026-09-18 11.30.21.jpg	certain
Lewis St.	T 1	2026-09-18 11.30.21.jpg	probable
Liberty St.	I 8	2026-09-18 11.30.21.jpg	certain
Lima St.	J 21	2026-09-18 11.30.21.jpg	certain
Lincoln St.	H 13	2026-09-18 11.30.21.jpg	certain
Linda Vista St.	H 7	2026-09-18 11.30.21.jpg	certain
Linden St.	K 16	2026-09-18 11.30.21.jpg	certain
Linwood St.	G 13	2026-09-18 11.30.21.jpg	certain
Little St.	G 12	2026-09-18 11.30.21.jpg	certain
Little Rock Ave.	J 17	2026-09-18 11.30.21.jpg	certain
Live Oak St.	R 15	2026-09-18 11.30.27.jpg	certain
Livingstone Ave.	N 7	2026-09-18 11.26.23.jpg	certain
Logan St.	I 8	2026-09-18 11.26.23.jpg	certain
Loma Drive	H 11	2026-09-18 11.30.27.jpg	certain
London Ave.	G 9	2026-09-18 11.26.23.jpg	certain
Longfellow	R 3	2026-09-18 11.26.23.jpg	probable
Longbeach Ave.	K 19	2026-09-18 11.26.23.jpg	certain
Lookout Drive	K 9	2026-09-18 11.26.23.jpg	certain
Loomis St.	H 13	2026-09-18 11.26.23.jpg	certain
Loosemore	O 5	2026-09-18 11.26.23.jpg	certain
Lord St.	O 12	2026-09-18 11.26.23.jpg	certain
Lorena Ave.	P 17	2026-09-18 11.26.23.jpg	certain
Loreto St.	O 7	2026-09-18 11.26.23.jpg	certain
Los Angeles St.	J 14	2026-09-18 11.26.23.jpg	certain
Lee Ave.	N 22	2026-09-18 11.26.23.jpg	certain
Lovelace Ave.	D 16	2026-09-18 11.26.23.jpg	certain
Lucas Ave.	K 12	2026-09-18 11.30.09.jpg	certain
Lucile Ave.	F 6	2026-09-18 11.30.09.jpg	certain
Lyons	L 12	2026-09-18 11.30.09.jpg	certain
Macea	O 5	2026-09-18 11.30.09.jpg	probable
Macy St.	L 12	2026-09-18 11.30.09.jpg	certain
Magdalena St.	L 11	2026-09-18 11.30.09.jpg	certain
Magneta St.	H 9	2026-09-18 11.30.09.jpg	certain
Malvern	E 14	2026-09-18 11.30.09.jpg	certain
Marion	T 1	2026-09-18 11.30.09.jpg	probable
Magnolia Ave.	E 13	2026-09-18 11.30.09.jpg	certain
Main St.	K 13	2026-09-18 11.30.09.jpg	certain
Maines Ave.	D 15	2026-09-18 11.30.09.jpg	certain
Malabar St.	P 13	2026-09-18 11.30.09.jpg	certain
Malcolmson St.	F 20	2026-09-18 11.30.09.jpg	certain
Mallard	H 13	2026-09-18 11.30.09.jpg	certain
Malta St.	P 3	2026-09-18 11.30.09.jpg	certain
Maltman Ave.	F 6	2026-09-18 11.30.09.jpg	certain
Manitou Ave.	O 9	2026-09-18 11.30.09.jpg	certain
Manhattan	A 14	2026-09-18 11.30.09.jpg	certain
Mann St.	L 10	2026-09-18 11.30.09.jpg	certain
Manzanita Ave.	E 8	2026-09-18 11.30.09.jpg	certain
Maple Ave.	I 15	2026-09-18 11.30.09.jpg	certain
Marathon Ave.	G 8	2026-09-18 11.30.09.jpg	certain
Marchessault St.	L 12	2026-09-18 11.30.09.jpg	certain
Marengo Ave.	O 11	2026-09-18 11.30.09.jpg	certain
Marietta St.	O 16	2026-09-18 11.30.09.jpg	certain
Marion Ave.	J 10	2026-09-18 11.30.09.jpg	certain
Market St.	K 12	2026-09-18 11.30.09.jpg	certain
Marmion Way	L 4	2026-09-18 11.30.09.jpg	certain
Mary Lane	L 12	2026-09-18 11.30.09.jpg	certain
Maryland St.	G 11	2026-09-18 11.30.09.jpg	certain
Mason St.	K 23	2026-09-18 11.30.09.jpg	certain
Masenta	H 9	2026-09-18 11.30.09.jpg	probable
Mateo St.	L 15	2026-09-18 11.30.09.jpg	certain
Mathews St.	P 14	2026-09-18 11.30.09.jpg	certain
Mattison St.	F 11	2026-09-18 11.30.09.jpg	certain
May St.	P 11	2026-09-18 11.30.09.jpg	certain
Mayberry St.	H 7	2026-09-18 11.30.09.jpg	certain
McAllister St.	O 12	2026-09-18 11.30.09.jpg	certain
McClintock Ave.	D 18	2026-09-18 11.30.09.jpg	certain
McCullom St.	H 7	2026-09-18 11.26.23.jpg	certain
McDuff St.	L 8	2026-09-18 11.26.23.jpg	certain
McGary St.	K 17	2026-09-18 11.26.23.jpg	certain
McKinley Ave.	H 22	2026-09-18 11.26.23.jpg	certain
McLean Road	N 15	2026-09-18 11.26.23.jpg	certain
McPherson St.	M 17	2026-09-18 11.26.23.jpg	certain
Medford St.	R 11	2026-09-18 11.26.23.jpg	certain
Mellus St.	M 14	2026-09-18 11.26.23.jpg	certain
Melvin St.	P 15	2026-09-18 11.30.21.jpg	certain
Menlo Ave.	E 16	2026-09-18 11.30.21.jpg	certain
Merced St.	N 6	2026-09-18 11.30.21.jpg	certain
Merchant	L 15	2026-09-18 11.30.21.jpg	certain
Merrick St.	K 14	2026-09-18 11.30.21.jpg	certain
Merwin St.	G 8	2026-09-18 11.30.21.jpg	certain
Mesa Ave.	L 3	2026-09-18 11.30.21.jpg	certain
Mesnager Ave.	M 10	2026-09-18 11.30.21.jpg	certain
Mesquit St.	M 15	2026-09-18 11.30.21.jpg	certain
Metcalf St.	I 10	2026-09-18 11.30.21.jpg	certain
Miami Ave.	E 10	2026-09-18 11.30.21.jpg	certain
Micheltoreno St.	F 7	2026-09-18 11.30.21.jpg	certain
Michigan Ave.	O 13	2026-09-18 11.30.21.jpg	certain
Midland	P 6	2026-09-18 11.30.21.jpg	certain
Mignonette St.	J 11	2026-09-18 11.30.21.jpg	certain
Millard Ave.	D 14	2026-09-18 11.30.21.jpg	certain
Milton St.	I 7	2026-09-18 11.30.21.jpg	certain
Milwaukee St.	L 3	2026-09-18 11.30.21.jpg	certain
Mimosa St.	L 15	2026-09-18 11.30.21.jpg	certain
Minerva St.	M 18	2026-09-18 11.30.21.jpg	certain
Minnesota St.	P 8	2026-09-18 11.30.21.jpg	certain
Miramar St.	G 11	2026-09-18 11.30.21.jpg	certain
Miranda St.	E 15	2026-09-18 11.30.21.jpg	certain
Miriam St.	O 17	2026-09-18 11.30.21.jpg	certain
Mission Road	O 11	2026-09-18 11.30.21.jpg	probable
Mitchell Place	N 12	2026-09-18 11.30.21.jpg	certain
Moffet Alley	N 8	2026-09-18 11.30.21.jpg	certain
Mohawk St.	H 8	2026-09-18 11.30.21.jpg	certain
Molino St.	L 14	2026-09-18 11.30.21.jpg	certain
Moneta Ave.	F 21	2026-09-18 11.30.21.jpg	certain
Monmouth Ave.	E 16	2026-09-18 11.30.21.jpg	certain
Mono St.	M 13	2026-09-18 11.30.21.jpg	certain
Montrose St.	H 8	2026-09-18 11.30.21.jpg	certain
Montana St.	I 8	2026-09-18 11.30.21.jpg	certain
Monrovia St.	N 12	2026-09-18 11.30.21.jpg	certain
Montevista St.	L 4	2026-09-18 11.30.21.jpg	certain
Montecito	P 7	2026-09-18 11.30.21.jpg	certain
Montezuma St.	H 9	2026-09-18 11.30.21.jpg	certain
Mountain Ave.	N 3	2026-09-18 11.30.21.jpg	certain
Mora St.	K 9	2026-09-18 11.30.21.jpg	certain
Morton St.	J 7	2026-09-18 11.30.21.jpg	certain
Morcom Ave.	J 6	2026-09-18 11.30.21.jpg	certain
Morning Ave.	O 5	2026-09-18 11.30.21.jpg	certain
Mott St.	P 15	2026-09-18 11.30.21.jpg	certain
Moulton Ave.	N 10	2026-09-18 11.30.21.jpg	certain
Mozart	O 10	2026-09-18 11.30.21.jpg	certain
Murdock Ave.	G 22	2026-09-18 11.30.21.jpg	certain
Myers St.	M 13	2026-09-18 11.30.21.jpg	certain
Myrtle St.	I 16	2026-09-18 11.30.21.jpg	certain
Nadeau St.	L 23	2026-09-18 11.30.21.jpg	certain
Naomi Ave.	L 19	2026-09-18 11.30.21.jpg	certain
Napa St.	F 9	2026-09-18 11.30.21.jpg	certain
Nand St.	M 10	2026-09-18 11.30.21.jpg	probable
Navarro St.	M 10	2026-09-18 11.30.21.jpg	certain
New Depot St.	K 10	2026-09-18 11.30.21.jpg	certain
Negro Alley	K 12	2026-09-18 11.30.21.jpg	certain
Newell St.	N 10	2026-09-18 11.30.21.jpg	certain
New England St.	E 14	2026-09-18 11.30.21.jpg	certain
Newhall St.	G 10	2026-09-18 11.30.21.jpg	certain
Newland St.	M 3	2026-09-18 11.30.21.jpg	certain
New Hampshire St.	O 12	2026-09-18 11.30.21.jpg	certain
New High St.	K 12	2026-09-18 11.30.21.jpg	certain
New Jersey St.	O 13	2026-09-18 11.30.21.jpg	certain
New Orleans St.	A 16	2026-09-18 11.30.21.jpg	certain
Newton St.	J 17	2026-09-18 11.30.21.jpg	certain
New York Ave.	M 3	2026-09-18 11.30.21.jpg	certain
Nina St.	R 12	2026-09-18 11.30.21.jpg	certain
Ninth St.	H 14	2026-09-18 11.30.21.jpg	certain
Nob Hill Ave.	G 11	2026-09-18 11.30.21.jpg	certain
Norfolk St.	P 11	2026-09-18 11.30.21.jpg	certain
Normandie Ave.	C 14	2026-09-18 11.30.21.jpg	certain
Norwood St.	F 16	2026-09-18 11.30.21.jpg	certain
Ocean View Ave.	F 11	2026-09-18 11.30.27.jpg	certain
Occidental	E 10	2026-09-18 11.30.27.jpg	certain
Ogier St.	L 11	2026-09-18 11.30.27.jpg	certain
Ohio St.	I 11	2026-09-18 11.30.27.jpg	certain
Oak St.	F 15	2026-09-18 11.30.27.jpg	certain
Old Temple Road	E 8	2026-09-18 11.30.27.jpg	certain
Olive St.	H 14	2026-09-18 11.30.27.jpg	certain
Olive Court	J 12	2026-09-18 11.30.27.jpg	certain
Olvera St.	L 12	2026-09-18 11.30.27.jpg	certain
Olney St.	F 20	2026-09-18 11.30.27.jpg	certain
Olympian Ave.	J 6	2026-09-18 11.30.27.jpg	probable
Omaha St.	I 10	2026-09-18 11.30.21.jpg	certain
Omar Ave.	K 14	2026-09-18 11.30.21.jpg	certain
Ontario St.	H 5	2026-09-18 11.30.27.jpg	certain
Opal St.	N 16	2026-09-18 11.30.27.jpg	certain
Orange St.	G 12	2026-09-18 11.30.27.jpg	certain
Orchard Ave.	E 17	2026-09-18 11.30.27.jpg	certain
Ord St.	K 11	2026-09-18 11.30.27.jpg	certain
Oregon	O 16	2026-09-18 11.30.27.jpg	certain
Orme Ave.	O 17	2026-09-18 11.30.27.jpg	certain
Oro St.	G 9	2026-09-18 11.30.27.jpg	certain
Ortega St.	H 22	2026-09-18 11.30.27.jpg	certain
Ottawa St.	H 14	2026-09-18 11.30.27.jpg	certain
Otter St.	H 9	2026-09-18 11.30.27.jpg	certain
Outlet St.	N 17	2026-09-18 11.30.27.jpg	certain
Overton St.	G 14	2026-09-18 11.30.27.jpg	certain
Oxford Ave.	B 14	2026-09-18 11.30.27.jpg	certain
Pacheo St.	G 10	2026-09-18 11.30.27.jpg	certain
Pacific Ave.	E 14	2026-09-18 11.30.27.jpg	certain
Paige	R 5	2026-09-18 11.30.27.jpg	certain
Palm St.	H 15	2026-09-18 11.30.27.jpg	certain
Palm Drive	G 16	2026-09-18 11.30.27.jpg	certain
Palmer St.	J 8	2026-09-18 11.30.27.jpg	certain
Palmetto St.	L 14	2026-09-18 11.30.27.jpg	certain
Palo Alto St.	H 10	2026-09-18 11.30.27.jpg	certain
Paloma Ave.	J 17	2026-09-18 11.30.09.jpg	probable
Palmer Ave.	J 8	2026-09-18 11.30.09.jpg	uncertain
Park Ave.	L 8	2026-09-18 11.30.09.jpg	uncertain
Park Row	L 8	2026-09-18 11.30.09.jpg	uncertain
Park Grove Ave.	F 16	2026-09-18 11.30.09.jpg	probable
Park View Ave.	F 11	2026-09-18 11.30.09.jpg	probable
Pasadena Ave.	Q 3	2026-09-18 11.30.09.jpg	probable
Patton St.	I 10	2026-09-18 11.30.09.jpg	certain
Pavilion Pl.	K 11	2026-09-18 11.30.09.jpg	probable
Pecan	N 13	2026-09-18 11.30.09.jpg	certain
Pennsylvania Ave.	O 13	2026-09-18 11.30.09.jpg	probable
Pepper Ave.	N 6	2026-09-18 11.30.09.jpg	certain
Percy St.	Q 16	2026-09-18 11.30.09.jpg	certain
Perris St.	R 11	2026-09-18 11.30.09.jpg	certain
Philadelphia St.	L 8	2026-09-18 11.30.09.jpg	certain
Philleo St.	G 8	2026-09-18 11.30.09.jpg	probable
Pico St.	F 14	2026-09-18 11.30.09.jpg	certain
Piedmont Ave.	M 4	2026-09-18 11.30.09.jpg	probable
Plata St.	G 9	2026-09-18 11.30.09.jpg	probable
Plaza St.	K 12	2026-09-18 11.30.09.jpg	probable
Pleasant Ave.	N 13	2026-09-18 11.30.09.jpg	probable
Plymouth St.	P 12	2026-09-18 11.30.09.jpg	probable
Poe	O 8	2026-09-18 11.30.09.jpg	certain
Pollard St.	N 3	2026-09-18 11.30.09.jpg	certain
Pomero Ave.	Q 12	2026-09-18 11.30.09.jpg	probable
Pomona St.	Q 8	2026-09-18 11.30.09.jpg	certain
Porter St.	M 17	2026-09-18 11.30.09.jpg	certain
Portia St.	J 8	2026-09-18 11.30.09.jpg	probable
Portland St.	E 16	2026-09-18 11.30.09.jpg	probable
Post St.	O 7	2026-09-18 11.30.09.jpg	certain
Potter Pl.	I 13	2026-09-18 11.30.09.jpg	probable
Poydras St.	R 15	2026-09-18 11.30.09.jpg	certain
Preston Ave.	J 6	2026-09-18 11.30.09.jpg	certain
Prichard St.	Q 9	2026-09-18 11.30.09.jpg	probable
Princeton Ave.	J 6	2026-09-18 11.30.09.jpg	probable
Prospect Drive	P 3	2026-09-18 11.30.09.jpg	probable
Prospect Place	N 12	2026-09-18 11.30.09.jpg	probable
Prudent St.	L 10	2026-09-18 11.30.09.jpg	probable
Putnam St.	O 11	2026-09-18 11.30.09.jpg	certain
Quebec St.	G 10	2026-09-18 11.30.09.jpg	certain
Queirol St.	L 11	2026-09-18 11.30.09.jpg	probable
Quincy St.	E 16	2026-09-18 11.30.09.jpg	certain
Quinter St.	J 8	2026-09-18 11.30.09.jpg	certain
Railroad St.	L 10	2026-09-18 11.30.09.jpg	certain
Ramirez St.	L 12	2026-09-18 11.30.09.jpg	probable
Ramona Ave.	J 10	2026-09-18 11.30.09.jpg	certain
Rampart St.	E 11	2026-09-18 11.30.21.jpg	certain
Raymond Ave.	C 16	2026-09-18 11.30.21.jpg	certain
Radcliff St.	G 6	2026-09-18 11.30.21.jpg	probable
Redondo St.	L 11	2026-09-18 11.30.21.jpg	certain
Redwood St.	K 6	2026-09-18 11.30.21.jpg	certain
Reid St.	D 14	2026-09-18 11.30.21.jpg	probable
Reed St.	F 20	2026-09-18 11.30.21.jpg	certain
Reno	F 90	2026-09-18 11.26.23.jpg	probable
Repton St.	N 3	2026-09-18 11.30.21.jpg	certain
Republo	K 12	2026-09-18 11.30.21.jpg	probable
Requena St.	K 12	2026-09-18 11.30.21.jpg	probable
Reservoir St.	F 7	2026-09-18 11.30.21.jpg	certain
Reynolds Ave.	R 6	2026-09-18 11.30.21.jpg	certain
Ricardo St.	O 11	2026-09-18 11.30.21.jpg	certain
Rich St.	G 14	2026-09-18 11.30.21.jpg	certain
Richmond St.	O 11	2026-09-18 11.30.21.jpg	certain
Ridge St.	K 9	2026-09-18 11.30.21.jpg	certain
Riecher Ave.	R 6	2026-09-18 11.30.21.jpg	uncertain
Remick	D 18	2026-09-18 11.30.21.jpg	certain
Rinehart St.	O 12	2026-09-18 11.30.21.jpg	certain
Rio St.	M 13	2026-09-18 11.30.21.jpg	certain
Rio Vista Ave.	N 17	2026-09-18 11.30.21.jpg	certain
River St.	O 7	2026-09-18 11.30.21.jpg	certain
Rivera St.	O 15	2026-09-18 11.30.21.jpg	certain
Robinson St.	F 7	2026-09-18 11.30.21.jpg	certain
Rogers Ave.	O 15	2026-09-18 11.30.21.jpg	certain
Rockwood St.	H 11	2026-09-18 11.30.21.jpg	certain
Romeo St.	D 15	2026-09-18 11.30.21.jpg	certain
Romulo St.	N 6	2026-09-18 11.30.21.jpg	certain
Rosabell St.	L 11	2026-09-18 11.30.21.jpg	certain
Rosalind St.	O 18	2026-09-18 11.30.21.jpg	certain
Roosevelt Ave.	C 14	2026-09-18 11.30.21.jpg	certain
Rose St.	L 13	2026-09-18 11.30.21.jpg	certain
Rosecrans Way	E 18	2026-09-18 11.30.21.jpg	certain
Roselawn Pl.	R 3	2026-09-18 11.30.21.jpg	certain
Rosemont St.	G 10	2026-09-18 11.30.21.jpg	certain
Rossini	R 17	2026-09-18 11.30.21.jpg	certain
Rowan St.	O 9	2026-09-18 11.30.21.jpg	certain
Rowland St.	D 14	2026-09-18 11.30.21.jpg	certain
Roxbury St.	B 14	2026-09-18 11.30.21.jpg	certain
Royal St.	E 7	2026-09-18 11.30.21.jpg	certain
Rubio	K 21	2026-09-18 11.30.21.jpg	certain
Ruby St.	N 3	2026-09-18 11.30.21.jpg	certain
Ruth Ave.	K 14	2026-09-18 11.30.21.jpg	certain
Ruth Upham Ave.	Q 6	2026-09-18 11.30.21.jpg	certain
Sabina St.	O 16	2026-09-18 11.30.27.jpg	certain
Sacramento St.	M 16	2026-09-18 11.30.27.jpg	certain
Safford	O 12	2026-09-18 11.30.27.jpg	certain
San Benito St.	O 13	2026-09-18 11.30.27.jpg	certain
Sanchez	K 12	2026-09-18 11.30.27.jpg	certain
San Diego St.	J 23	2026-09-18 11.30.27.jpg	certain
San Fernando St.	L 11	2026-09-18 11.30.27.jpg	certain
San Fernando Rd.	M 6	2026-09-18 11.30.27.jpg	certain
San Julian St.	I 15	2026-09-18 11.30.27.jpg	certain
San Leandro St.	M 18	2026-09-18 11.30.27.jpg	certain
San Marino St.	E 12	2026-09-18 11.30.27.jpg	certain
San Pablo St.	O 11	2026-09-18 11.30.27.jpg	certain
San Pasqual Ave	N 3	2026-09-18 11.30.27.jpg	certain
San Pedro St.	K 14	2026-09-18 11.30.27.jpg	certain
Santa Barbara Ave.	C 19	2026-09-18 11.30.27.jpg	certain
Santa Clara St.	L 17	2026-09-18 11.30.27.jpg	certain
